TOMF_00_06   ;   Tempo : 00:00:17   ;   Registros : 1888   ;   ORM
TCRE_00_01   ;   Tempo : 00:00:00   ;   Registros : 785   ;   CopyDataSet
TRFC_00_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPRO_00_03   ;   Tempo : 00:00:28   ;   Registros : 8261   ;   ORM
TCEF_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TNCM_00_01   ;   Tempo : 00:00:00   ;   Registros : 3   ;   ORM
TPDC_00_02_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPRZ_00_01   ;   Tempo : 00:00:00   ;   Registros : 3   ;   ORM
TAJU_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCPA_00_03   ;   Tempo : 00:00:13   ;   Registros : 13439   ;   CopyDataSet
TCMD_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TLIC_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TMTL_00_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPCH_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TRBC_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
